name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
Musk (Version 2);https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29;Multivariate;Classification;Integer;6598;168;1994
Nursery;https://archive.ics.uci.edu/ml/datasets/Nursery;Multivariate;Classification;Categorical;12960;8;1997
Othello Domain Theory;https://archive.ics.uci.edu/ml/datasets/Othello+Domain+Theory;Domain-Theory;;;;;1991
Page Blocks Classification;https://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification;Multivariate;Classification;Integer$Real;5473;10;1995
Optical Recognition of Handwritten Digits;https://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits;Multivariate;Classification;Integer;5620;64;1998
Pen-Based Recognition of Handwritten Digits;https://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits;Multivariate;Classification;Integer;10992;16;1998
Post-Operative Patient;https://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient;Multivariate;Classification;Categorical$Integer;90;8;1993
Primary Tumor;https://archive.ics.uci.edu/ml/datasets/Primary+Tumor;Multivariate;Classification;Categorical;339;17;1988
Prodigy;https://archive.ics.uci.edu/ml/datasets/Prodigy;Domain-Theory;;;;;
Qualitative Structure Activity Relationships;https://archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships;Domain-Theory;;;;;
Quadruped Mammals;https://archive.ics.uci.edu/ml/datasets/Quadruped+Mammals;Multivariate$Data-Generator;Classification;Real;;72;1992
Servo;https://archive.ics.uci.edu/ml/datasets/Servo;Multivariate;Regression;Categorical$Integer;167;4;1993
Shuttle Landing Control;https://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control;Multivariate;Classification;Categorical;15;6;1988
Solar Flare;https://archive.ics.uci.edu/ml/datasets/Solar+Flare;Multivariate;Regression;Categorical;1389;10;1989
Soybean (Large);https://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29;Multivariate;Classification;Categorical;307;35;1988
Soybean (Small);https://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29;Multivariate;Classification;Categorical;47;35;1987
Challenger USA Space Shuttle O-Ring;https://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring;Multivariate;Regression;Integer;23;4;1993
Low Resolution Spectrometer;https://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer;Multivariate;Classification;Integer$Real;531;102;1988
Spambase;https://archive.ics.uci.edu/ml/datasets/Spambase;Multivariate;Classification;Integer$Real;4601;57;1999
SPECT Heart;https://archive.ics.uci.edu/ml/datasets/SPECT+Heart;Multivariate;Classification;Categorical;267;22;2001
SPECTF Heart;https://archive.ics.uci.edu/ml/datasets/SPECTF+Heart;Multivariate;Classification;Integer;267;44;2001
Sponge;https://archive.ics.uci.edu/ml/datasets/Sponge;Multivariate;Clustering;Categorical$Integer;76;45;
Statlog Project;https://archive.ics.uci.edu/ml/datasets/Statlog+Project;;;;;;1992
Student Loan Relational;https://archive.ics.uci.edu/ml/datasets/Student+Loan+Relational;Domain-Theory;;;1000;;1993
Teaching Assistant Evaluation;https://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation;Multivariate;Classification;Categorical$Integer;151;5;1997
Tic-Tac-Toe Endgame;https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame;Multivariate;Classification;Categorical;958;9;1991
Thyroid Disease;https://archive.ics.uci.edu/ml/datasets/Thyroid+Disease;Multivariate$Domain-Theory;Classification;Categorical$Real;7200;21;1987
Trains;https://archive.ics.uci.edu/ml/datasets/Trains;Multivariate;Classification;Categorical;10;32;1994
University;https://archive.ics.uci.edu/ml/datasets/University;Multivariate;Classification;Categorical$Integer;285;17;1988
Congressional Voting Records;https://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records;Multivariate;Classification;Categorical;435;16;1987
Water Treatment Plant;https://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant;Multivariate;Clustering;Integer$Real;527;38;1993
Waveform Database Generator (Version 1);https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29;Multivariate$Data-Generator;Classification;Real;5000;21;1988
Waveform Database Generator (Version 2);https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29;Multivariate$Data-Generator;Classification;Real;5000;40;1988
Wine;https://archive.ics.uci.edu/ml/datasets/Wine;Multivariate;Classification;Integer$Real;178;13;1991
Yeast;https://archive.ics.uci.edu/ml/datasets/Yeast;Multivariate;Classification;Real;1484;8;1996
Zoo;https://archive.ics.uci.edu/ml/datasets/Zoo;Multivariate;Classification;Categorical$Integer;101;17;1990
Undocumented;https://archive.ics.uci.edu/ml/datasets/Undocumented;;;;;;
Twenty Newsgroups;https://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups;Text;;;20000;;1999
Australian Sign Language signs;https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs;Multivariate$Time-Series;Classification;Categorical$Real;6650;15;1999
Australian Sign Language signs (High Quality);https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29;Multivariate$Time-Series;Classification;Real;2565;22;2002
US Census Data (1990);https://archive.ics.uci.edu/ml/datasets/US+Census+Data+%281990%29;Multivariate;Clustering;Categorical;2458285;68;
Census-Income (KDD);https://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29;Multivariate;Classification;Categorical$Integer;299285;40;2000
Coil 1999 Competition Data;https://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data;Multivariate;;Categorical$Real;340;17;1999
Corel Image Features;https://archive.ics.uci.edu/ml/datasets/Corel+Image+Features;Multivariate;;Real;68040;89;1999
E. Coli Genes;https://archive.ics.uci.edu/ml/datasets/E.+Coli+Genes;Relational;;;;;2001
EEG Database;https://archive.ics.uci.edu/ml/datasets/EEG+Database;Multivariate$Time-Series;;Categorical$Integer$Real;122;4;1999
El Nino;https://archive.ics.uci.edu/ml/datasets/El+Nino;Spatio-temporal;;Integer$Real;178080;12;1999
Entree Chicago Recommendation Data;https://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data;Transactional$Sequential;Recommender-Systems;Categorical;50672;;2000
CMU Face Images;https://archive.ics.uci.edu/ml/datasets/CMU+Face+Images;Image;Classification;Integer;640;;1999
Insurance Company Benchmark (COIL 2000);https://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29;Multivariate;Regression$Description;Categorical$Integer;9000;86;2000
Internet Usage Data;https://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data;Multivariate;;Categorical$Integer;10104;72;1999
IPUMS Census Database;https://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database;Multivariate;;Categorical$Integer;256932;61;1999
Japanese Vowels;https://archive.ics.uci.edu/ml/datasets/Japanese+Vowels;Multivariate$Time-Series;Classification;Real;640;12;
KDD Cup 1998 Data;https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data;Multivariate;Regression;Categorical$Integer;191779;481;1998
KDD Cup 1999 Data;https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data;Multivariate;Classification;Categorical$Integer;4000000;42;1999
M. Tuberculosis Genes;https://archive.ics.uci.edu/ml/datasets/M.+Tuberculosis+Genes;Relational;;;;;2001
Movie;https://archive.ics.uci.edu/ml/datasets/Movie;Multivariate$Relational;;;10000;;1999
MSNBC.com Anonymous Web Data;https://archive.ics.uci.edu/ml/datasets/MSNBC.com+Anonymous+Web+Data;Sequential;;Categorical;989818;;
NSF Research Award Abstracts 1990-2003;https://archive.ics.uci.edu/ml/datasets/NSF+Research+Award+Abstracts+1990-2003;Text;;;129000;;2003
Pioneer-1 Mobile Robot Data;https://archive.ics.uci.edu/ml/datasets/Pioneer-1+Mobile+Robot+Data;Multivariate$Time-Series;;Categorical$Real;;;1999
Pseudo Periodic Synthetic Time Series;https://archive.ics.uci.edu/ml/datasets/Pseudo+Periodic+Synthetic+Time+Series;Univariate$Time-Series;;;100000;;1999
Reuters-21578 Text Categorization Collection;https://archive.ics.uci.edu/ml/datasets/Reuters-21578+Text+Categorization+Collection;Text;Classification;Categorical;21578;5;1997
Robot Execution Failures;https://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures;Multivariate$Time-Series;Classification;Integer;463;90;1999
Synthetic Control Chart Time Series;https://archive.ics.uci.edu/ml/datasets/Synthetic+Control+Chart+Time+Series;Time-Series;Classification$Clustering;Real;600;;1999
Syskill and Webert Web Page Ratings;https://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings;Multivariate$Text;Classification;Categorical;332;5;1998
UNIX User Data;https://archive.ics.uci.edu/ml/datasets/UNIX+User+Data;Text$Sequential;;;;;
Volcanoes on Venus - JARtool experiment;https://archive.ics.uci.edu/ml/datasets/Volcanoes+on+Venus+-+JARtool+experiment;Image;Classification;;;;
Statlog (Australian Credit Approval);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Australian+Credit+Approval%29;Multivariate;Classification;Categorical$Integer$Real;690;14;
Statlog (German Credit Data);https://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29;Multivariate;Classification;Categorical$Integer;1000;20;1994
Statlog (Heart);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Heart%29;Multivariate;Classification;Categorical$Real;270;13;
Statlog (Landsat Satellite);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Landsat+Satellite%29;Multivariate;Classification;Integer;6435;36;1993
Statlog (Image Segmentation);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29;Multivariate;Classification;Real;2310;19;1990
Statlog (Shuttle);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Shuttle%29;Multivariate;Classification;Integer;58000;9;
Statlog (Vehicle Silhouettes);https://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29;Multivariate;Classification;Integer;946;18;
Connectionist Bench (Nettalk Corpus);https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29;Multivariate;;Categorical;20008;4;
Connectionist Bench (Sonar, Mines vs. Rocks);https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Sonar%2C+Mines+vs.+Rocks%29;Multivariate;Classification;Real;208;60;
Connectionist Bench (Vowel Recognition - Deterding Data);https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Vowel+Recognition+-+Deterding+Data%29;;Classification;Real;528;10;
Economic Sanctions;https://archive.ics.uci.edu/ml/datasets/Economic+Sanctions;Domain-Theory;;;;;
Protein Data;https://archive.ics.uci.edu/ml/datasets/Protein+Data;;;;;;
Cloud;https://archive.ics.uci.edu/ml/datasets/Cloud;Multivariate;;Real;1024;10;1989
CalIt2 Building People Counts;https://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts;Multivariate$Time-Series;;Categorical$Integer;10080;4;2006
Dodgers Loop Sensor;https://archive.ics.uci.edu/ml/datasets/Dodgers+Loop+Sensor;Multivariate$Time-Series;;Categorical$Integer;50400;3;2006
Poker Hand;https://archive.ics.uci.edu/ml/datasets/Poker+Hand;Multivariate;Classification;Categorical$Integer;1025010;11;2007
MAGIC Gamma Telescope;https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope;Multivariate;Classification;Real;19020;11;2007
UJI Pen Characters;https://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters;Multivariate$Sequential;Classification;Integer;1364;;2007
Mammographic Mass;https://archive.ics.uci.edu/ml/datasets/Mammographic+Mass;Multivariate;Classification;Integer;961;6;2007
Forest Fires;https://archive.ics.uci.edu/ml/datasets/Forest+Fires;Multivariate;Regression;Real;517;13;2008
Reuters Transcribed Subset;https://archive.ics.uci.edu/ml/datasets/Reuters+Transcribed+Subset;Text;Classification;;200;;2008
Bag of Words;https://archive.ics.uci.edu/ml/datasets/Bag+of+Words;Text;Clustering;Integer;8000000;100000;2008
Concrete Compressive Strength;https://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength;Multivariate;Regression;Real;1030;9;2007
