,algorithm,k,n_samples,n_features,similar_to_baseline,average_time,average_time_std
117,rbf_kernel,10,1000,150,True,0.001253867492857093,2.1704508869797727e-05
118,RBF,10,1000,150,True,0.0006070149861429205,1.5151772446119351e-05
119,pairwise_kernels,10,1000,150,True,0.0014102219338571688,8.049304590716466e-05
120,faiss,10,10000,10,True,0.0008365517508571948,3.639414069249445e-05
121,rbf_kernel,10,10000,10,True,0.0019024495778572341,5.5129338835203304e-05
122,RBF,10,10000,10,True,0.0006494567602858297,1.6621479495476855e-05
123,pairwise_kernels,10,10000,10,True,0.001768956970857029,1.9445386597878162e-05
124,faiss,10,10000,50,True,0.0014043220604285772,0.0001906755463537369
125,rbf_kernel,10,10000,50,True,0.003568746141428554,0.00016378103574652686
126,RBF,10,10000,50,True,0.002598232085142887,3.5189471969384776e-05
127,pairwise_kernels,10,10000,50,True,0.0035096179009999886,4.037703064673965e-05
128,faiss,10,10000,150,True,0.0038981239645716932,7.222571600584989e-05
129,rbf_kernel,10,10000,150,True,0.008373896347999886,8.15142180057338e-05
130,RBF,10,10000,150,True,0.008293242146571305,7.462180533458372e-05
131,pairwise_kernels,10,10000,150,True,0.008297977998428645,7.83724553594525e-05
132,faiss,10,100000,10,True,0.005513577755428741,9.818634173697616e-05
133,rbf_kernel,10,100000,10,True,0.012237542265428471,0.00017355422023471463
134,RBF,10,100000,10,True,0.007074065547714391,3.771273949915987e-05
135,pairwise_kernels,10,100000,10,True,0.012259576583856999,0.00011056230422677533
136,faiss,10,100000,50,True,0.012237302422857154,0.00012697973090613847
137,rbf_kernel,10,100000,50,True,0.029791485762143046,0.003998315224361807
138,RBF,10,100000,50,True,0.030631158024000148,0.005899039178105823
139,pairwise_kernels,10,100000,50,True,0.027058223056285767,0.002103949782977214
140,faiss,10,100000,150,True,0.020742229891142678,0.00021902620719111034
141,rbf_kernel,10,100000,150,True,0.06607949994657143,0.00015098116495279734
142,RBF,10,100000,150,True,0.07311043061999992,0.0024290383376142782
143,pairwise_kernels,10,100000,150,True,0.06810296082357127,0.0003146721958990755
